,y_values
1066.875,0.983282477672102
1070.125,0.9819363645577993
1073.375,0.9807725449200934
1076.625,0.9798358335643307
1079.875,0.9791479071902693
1083.125,0.9790802726446213
1086.375,0.9790351851104521
1089.625,0.9794635980633832
1092.875,0.9800952945452397
1096.125,0.9805918965796074
1099.375,0.9805354560608617
1102.625,0.9801855594607379
1105.875,0.9801629901140022
1109.125,0.9801855617993177
1112.375,0.9801629901140022
1115.625,0.980298413989921
1118.875,0.9805128765781201
1122.125,0.9808854670323658
1125.375,0.981552012844719
1128.625,0.9825129877845156
1131.875,0.9831240040336415
1135.125,0.9838260098198218
1138.375,0.9845738699245757
1141.625,0.9850500559254336
1144.875,0.9852995852982523
1148.125,0.9856853626608377
1151.375,0.9860939629996868
1154.625,0.9862983350485912
1157.875,0.986457320369997
1161.125,0.9868890324293178
1164.375,0.9877301258773035
1167.625,0.9877983582138502
1170.875,0.9880030835057062
1174.125,0.9884468058483097
1177.375,0.9887313393471371
1180.625,0.9888907168541086
1183.875,0.9890728940345898
1187.125,0.9891867718148807
1190.375,0.9886175582885206
1193.625,0.9876618982539165
1196.875,0.9870253343220591
1200.125,0.9865936138998492
1203.375,0.9862074977981241
1206.625,0.9857534370209008
1209.875,0.9851294793169534
1213.125,0.9845058475317094
1216.375,0.9841658699738594
1219.625,0.9840299118260577
1222.875,0.9838260098198218
1226.125,0.9834183325509263
1229.375,0.9830108242151079
1232.625,0.982693990035675
1235.875,0.9818006561057195
1239.125,0.9812469051683342
1242.375,0.9806822165902684
1245.625,0.9804338565766328
1248.875,0.9806596358077119
1252.125,0.9806822165902684
1255.375,0.9807499620576735
1258.625,0.9812920942987721
1261.875,0.9819249606823658
1265.125,0.9821736984171848
1268.375,0.9825129877845156
1271.625,0.9830108242151079
1274.875,0.983169279609667
1278.125,0.9828976574261321
1281.375,0.9826261102842127
1284.625,0.9822415469160631
1287.875,0.9815858743773315
1291.125,0.9806822165902684
1294.375,0.9791929996560528
1297.625,0.9773909197791895
1300.875,0.9754573826732732
1304.125,0.9733931820861141
1307.375,0.9713109841089289
1310.625,0.9687200754226537
1313.875,0.9655356196441771
1317.125,0.9621622199726494
1320.375,0.9578297014449056
1323.625,0.9527485577079193
1326.875,0.9471053721186952
1330.125,0.9400226107740083
1333.375,0.9323914877852307
1336.625,0.9250778875667359
1339.875,0.9187096961818618
1343.125,0.9144675519168473
1346.375,0.9127845909745895
1349.625,0.9136887971359076
1352.875,0.9168289115331747
1356.125,0.9212729080158377
1359.375,0.9260795626431383
1362.625,0.930696969967131
1365.875,
1369.125,0.9343902540934201
1372.375,0.9372561525552728
